$,380500416,55353,53022,174.93,140.57,0.00,0.00,
$,380510420,55408,53066,171.81,137.45,0.00,0.00,
$,380520428,55462,53109,168.62,134.27,0.00,0.00,
$,380530436,55516,53152,168.62,134.27,0.00,0.00,
$,380540444,55568,53193,162.37,128.02,0.00,0.00,
$,380550448,55620,53234,162.44,128.07,0.00,0.00,
$,380560452,55671,53273,159.31,121.83,0.00,0.00,
$,380570460,55721,53312,156.13,121.78,0.00,0.00,
$,380580468,55770,53350,153.00,118.66,0.00,0.00,
$,380590476,55819,53387,153.00,115.53,0.00,0.00,
$,380600484,55867,53424,149.88,115.53,0.00,0.00,
$,380610488,55914,53459,146.82,109.33,0.00,0.00,
$,380620508,55960,53494,143.46,109.16,0.00,0.00,
$,380630512,56005,53527,140.57,103.08,0.00,0.00,
$,380640524,56050,53560,140.46,103.00,0.00,0.00,
$,380650532,56094,53593,137.39,103.04,0.00,0.00,
$,380660540,56137,53624,134.27,96.80,0.00,0.00,
$,380670560,56179,53655,130.99,96.68,0.00,0.00,
$,380680568,56221,53685,131.15,93.68,0.00,0.00,
$,380690572,56262,53714,128.07,90.59,0.00,0.00,
$,380700580,56301,53742,121.78,87.43,0.00,0.00,
$,380710596,56341,53770,124.80,87.36,0.00,0.00,
$,380720604,56379,53797,118.66,84.31,0.00,0.00,
$,380730608,56417,53823,118.70,81.22,0.00,0.00,
$,380740616,56454,53848,115.53,78.06,0.00,0.00,
$,380750624,56491,53873,115.53,78.06,0.00,0.00,
$,380760628,56526,53897,109.33,74.97,0.00,0.00,
$,380770636,56561,53920,109.29,71.82,0.00,0.00,
$,380780644,56596,53943,109.29,71.82,0.00,0.00,
$,380790652,56629,53965,103.04,68.70,0.00,0.00,
$,380800660,56662,53986,103.04,65.57,0.00,0.00,
$,380810664,56694,54007,99.96,65.60,0.00,0.00,
$,380820668,56726,54027,99.96,62.48,0.00,0.00,
$,380830672,56756,54046,93.71,59.35,0.00,0.00,
$,380840676,56787,54065,96.84,59.35,0.00,0.00,
$,380850684,56816,54083,90.55,56.21,0.00,0.00,
$,380860688,56845,54100,90.59,53.10,0.00,0.00,
$,380870692,56873,54117,87.47,53.10,0.00,0.00,
$,380880700,56900,54133,84.31,49.96,0.00,0.00,
$,380890708,56927,54149,84.31,49.96,0.00,0.00,
$,380900712,56953,54164,81.22,46.86,0.00,0.00,
$,380910720,56979,54178,81.19,43.72,0.00,0.00,
$,380920724,57004,54192,78.09,43.73,0.00,0.00,
$,380930732,57028,54205,74.94,40.59,0.00,0.00,
$,380940740,57052,54218,74.94,40.59,0.00,0.00,
$,380950748,57075,54230,71.82,37.47,0.00,0.00,
$,380960752,57097,54242,68.72,37.49,0.00,0.00,
$,380970760,57119,54253,68.70,34.35,0.00,0.00,
$,380980768,57141,54264,68.70,34.35,0.00,0.00,
$,380990772,57161,54273,62.48,28.11,0.00,0.00,
$,381000780,57181,54283,62.45,31.23,0.00,0.00,
